Maj_Cat,HC,SF,ECA,MA,TU,SP,ZO,AT,AN,AS,OL,BS,UN
Sangjiaowan_T3,132,18,40,227,441,4,0,0,0,0,15,142,0
Sangjiaowan_T4,109,16,30,145,528,14,3,0,0,0,10,146,0
Sangjiaowan_T5,384,9,8,23,417,3,0,0,0,0,4,170,0
Shihland_T1,248,583,50,12,27,3,0,0,0,0,0,69,8
Shihland_T2,303,568,25,15,47,0,0,0,30,0,0,25,0
Shihland_T3,320,491,17,15,86,3,0,0,43,0,0,28,0
Shihland_T4,225,606,13,30,55,6,0,0,57,0,0,17,0
Shihland_T5,226,543,13,38,51,38,2,0,67,0,0,32,0
Siyuping_T1,147,0,1,58,772,0,5,0,0,0,9,23,0
Siyuping_T2,69,4,2,74,777,0,6,0,0,0,5,96,0
Siyuping_T3,38,34,16,11,278,0,0,0,0,0,1,655,0
Siyuping_T4,200,14,29,14,591,0,67,0,1,0,9,92,0
Siyuping_T5,141,33,9,2,790,0,29,0,0,0,4,13,0
Taioshih_T1,208,1,20,97,519,0,0,0,0,0,9,125,0
Taioshih_T2,76,5,16,11,774,0,0,0,0,0,3,105,0
Taioshih_T3,41,5,7,27,697,3,0,0,0,0,12,167,0
Taioshih_T4,125,10,8,22,676,1,0,0,0,0,8,128,0
Taioshih_T5,53,10,15,23,722,0,0,0,0,0,10,114,0
Tanzihwan_T1,80,0,37,257,516,1,0,0,0,0,1,120,0
Tanzihwan_T2,129,4,18,201,538,0,0,0,0,0,5,111,0
Tanzihwan_T3,139,2,46,222,481,0,1,0,0,0,9,103,0
Tanzihwan_T4,168,0,64,318,389,0,0,0,0,0,7,68,0
Tanzihwan_T5,191,2,33,231,516,0,0,0,0,0,4,38,0
Wa_En_Tung_T1,522,0,12,12,417,14,0,0,0,1,0,28,0
Wa_En_Tung_T2,457,0,2,2,507,15,0,0,0,0,2,23,0
Wa_En_Tung_T3,569,0,6,0,428,3,0,0,0,0,1,1,0
Wa_En_Tung_T4,560,0,8,4,412,7,0,0,0,0,4,4,0
Wa_En_Tung_T5,571,0,7,13,393,7,0,0,0,0,0,6,0
Wanlitung_T1,37,7,52,117,732,0,0,0,0,2,3,62,0
Wanlitung_T2,36,34,31,136,716,2,1,0,0,6,0,65,0
Wanlitung_T3,26,13,27,132,791,2,0,0,0,2,6,22,0
Wanlitung_T4,55,2,36,70,833,1,0,0,0,0,8,22,0
Wanlitung_T5,35,1,26,111,831,0,0,0,0,1,3,7,0
Yeliu_T1,360,0,129,129,315,37,11,0,0,0,3,14,0
Yeliu_T2,333,14,51,202,358,8,30,0,0,0,1,20,0
Yeliu_T3,112,0,51,137,358,1,337,0,3,0,1,2,0
Yeliu_T4,110,8,85,159,266,9,361,0,0,0,3,11,0
Yeliu_T5,201,0,39,135,310,0,251,0,42,0,0,21,0
